Zip Code,Median earnings (dollars),"Median earnings (dollars) Agriculture, forestry, fishing and hunting","Median earnings (dollars) Mining, quarrying, and oil and gas extraction",Median earnings (dollars) Construction,Median earnings (dollars) Manufacturing,Median earnings (dollars) Wholesale trade,Median earnings (dollars) Retail trade,Median earnings (dollars) Transportation and warehousing,Median earnings (dollars) Utilities,Median earnings (dollars) Information,Median earnings (dollars) Finance and insurance,Median earnings (dollars) Real estate and rental and leasing,"Median earnings (dollars) Professional, scientific, and technical services",Median earnings (dollars) Management of companies and enterprises,Median earnings (dollars) Administrative and support and waste management services,Median earnings (dollars) Educational services,Median earnings (dollars) Health care and social assistance,"Median earnings (dollars) Arts, entertainment, and recreation",Median earnings (dollars) Accommodation and food services,"Median earnings (dollars) Other services, except public administration",Median earnings (dollars) Public administration,Median earnings (dollars) for male,"Median earnings (dollars) for male Agriculture, forestry, fishing and hunting","Median earnings (dollars) for male Mining, quarrying, and oil and gas extraction",Median earnings (dollars) for male Construction,Median earnings (dollars) for male Manufacturing,Median earnings (dollars) for male Wholesale trade,Median earnings (dollars) for male Retail trade,Median earnings (dollars) for male Transportation and warehousing,Median earnings (dollars) for male Utilities,Median earnings (dollars) for male Information,Median earnings (dollars) for male Finance and insurance,Median earnings (dollars) for male Real estate and rental and leasing,"Median earnings (dollars) for male Professional, scientific, and technical services",Median earnings (dollars) for male Management of companies and enterprises,Median earnings (dollars) for male Administrative and support and waste management services,Median earnings (dollars) for male Educational services,Median earnings (dollars) for male Health care and social assistance,"Median earnings (dollars) for male Arts, entertainment, and recreation",Median earnings (dollars) for male Accommodation and food services,"Median earnings (dollars) for male Other services, except public administration",Median earnings (dollars) for male Public administration,Median earnings (dollars) for female,"Median earnings (dollars) for female Agriculture, forestry, fishing and hunting","Median earnings (dollars) for female Mining, quarrying, and oil and gas extraction",Median earnings (dollars) for female Construction,Median earnings (dollars) for female Manufacturing,Median earnings (dollars) for female Wholesale trade,Median earnings (dollars) for female Retail trade,Median earnings (dollars) for female Transportation and warehousing,Median earnings (dollars) for female Utilities,Median earnings (dollars) for female Information,Median earnings (dollars) for female Finance and insurance,Median earnings (dollars) for female Real estate and rental and leasing,"Median earnings (dollars) for female Professional, scientific, and technical services",Median earnings (dollars) for female Management of companies and enterprises,Median earnings (dollars) for female Administrative and support and waste management services,Median earnings (dollars) for female Educational services,Median earnings (dollars) for female Health care and social assistance,"Median earnings (dollars) for female Arts, entertainment, and recreation",Median earnings (dollars) for female Accommodation and food services,"Median earnings (dollars) for female Other services, except public administration",Median earnings (dollars) for female Public administration,Women's earnings as a percentage of men's earning,"Women's earnings as a percentage of men's earning Agriculture, forestry, fishing and hunting","Women's earnings as a percentage of men's earning Mining, quarrying, and oil and gas extraction",Women's earnings as a percentage of men's earning Construction,Women's earnings as a percentage of men's earning Manufacturing,Women's earnings as a percentage of men's earning Wholesale trade,Women's earnings as a percentage of men's earning Retail trade,Women's earnings as a percentage of men's earning Transportation and warehousing,Women's earnings as a percentage of men's earning Utilities,Women's earnings as a percentage of men's earning Information,Women's earnings as a percentage of men's earning Finance and insurance,Women's earnings as a percentage of men's earning Real estate and rental and leasing,"Women's earnings as a percentage of men's earning Professional, scientific, and technical services",Women's earnings as a percentage of men's earning Management of companies and enterprises,Women's earnings as a percentage of men's earning Administrative and support and waste management services,Women's earnings as a percentage of men's earning Educational services,Women's earnings as a percentage of men's earning Health care and social assistance,"Women's earnings as a percentage of men's earning Arts, entertainment, and recreation",Women's earnings as a percentage of men's earning Accommodation and food services,"Women's earnings as a percentage of men's earning Other services, except public administration",Women's earnings as a percentage of men's earning Public administration
95111,35406,16094,-,47162,46731,46190,26875,41406,99327,56894,52705,47854,70343,31063,32999,42000,33376,27870,22010,15565,41771,40959,23750,-,47297,50122,60125,27295,41917,98173,52500,60227,40898,92436,31063,33305,46989,39556,30640,24904,28702,53438,30433,14662,-,42244,36990,33542,26092,41100,-,81591,47963,63571,53826,-,32796,38578,32026,7865,20547,13188,41302,74.3,61.7,-,89.3,73.8,55.8,95.6,98.1,-,155.4,79.6,155.4,58.2,-,98.5,82.1,81,25.7,82.5,45.9,77.3
95112,35802,21521,-,50404,51409,45000,20562,30123,103696,75250,83852,54744,81051,-,28984,28822,37673,21250,20027,20190,60928,40364,21635,-,50235,58614,46083,20839,35761,102935,85337,85849,55594,90236,-,29667,30714,41333,26375,21465,31875,78684,28985,21111,-,64438,41281,43750,20355,21046,-,70682,49219,21150,71891,-,21250,25189,36867,19063,16702,18610,40994,71.8,97.6,-,128.3,70.4,94.9,97.7,58.9,-,82.8,57.3,38,79.7,-,71.6,82,89.2,72.3,77.8,58.4,52.1
95113,103254,-,-,-,120446,142188,209028,-,-,100625,138750,104375,105972,-,79348,85208,61250,63333,-,24327,110481,116667,-,-,-,155556,-,209167,-,-,100625,-,173636,107083,-,-,104808,"250,000+",-,-,-,96389,77813,-,-,-,-,-,-,-,-,143750,-,103125,101591,-,79348,37250,16750,-,-,-,-,66.7,-,-,-,-,-,-,-,-,142.9,-,59.4,94.9,-,-,35.5,-,-,-,-,-
95116,31633,24563,-,37688,37080,47955,23362,30631,105192,67695,38650,32955,63159,61000,26924,38125,32910,24242,22677,21647,53277,35719,23844,-,38001,42268,51250,30377,30350,54663,63594,42800,31833,75500,-,30231,54783,33750,26071,25029,36308,62143,26958,30625,-,32176,31189,40250,19607,30712,-,68047,36719,34342,49125,-,22261,33672,32851,23452,21090,17097,37011,75.5,128.4,-,84.7,73.8,78.5,64.5,101.2,-,107,85.8,107.9,65.1,-,73.6,61.5,97.3,90,84.3,47.1,59.6
95117,48940,-,-,53833,96672,37194,26337,36800,111250,92100,76855,26357,111406,-,35625,49688,43468,16634,21773,33892,84327,58074,-,-,54700,99375,31989,30420,36817,-,81250,75438,25286,123136,-,31593,77641,60341,17196,24363,33644,41318,43973,-,-,44462,81023,52756,20298,22417,-,121591,81250,47206,80964,-,44028,46157,41036,9185,17473,39375,92500,75.7,-,-,81.3,81.5,164.9,66.7,60.9,-,149.7,107.7,186.7,65.8,-,139.4,59.4,68,53.4,71.7,117,223.9
95118,63954,18150,-,46944,120215,60673,36538,33710,105169,186250,90991,81250,126750,97396,43158,73125,50023,18672,24185,28782,76250,83275,18650,-,48144,127277,62614,54107,32308,105473,213125,115769,215833,151909,-,40446,87150,62772,67614,23725,34448,91250,50943,-,-,31016,93636,60577,30729,45816,96094,103750,64028,57045,95183,-,47045,68404,49250,13816,25536,26094,71250,61.2,-,-,64.4,73.6,96.7,56.8,141.8,91.1,48.7,55.3,26.4,62.7,-,116.3,78.5,78.5,20.4,107.6,75.7,78.1
95119,59076,-,-,80625,91012,40804,41724,84500,106176,113625,62096,43977,86250,-,22059,57772,60107,35577,17188,35125,102125,62075,-,-,101667,88810,40357,48500,63977,-,152656,60882,46667,107500,-,27159,44926,57500,17417,21250,88625,101750,54280,-,-,-,110341,50313,38389,-,-,90417,78646,42614,59103,-,-,58000,60163,-,12016,31207,103036,87.4,-,-,-,124.2,124.7,79.2,-,-,59.2,129.2,91.3,55,-,-,129.1,104.6,-,56.5,35.2,101.3
95120,105016,-,-,91379,161379,105789,48889,61029,126250,145543,87639,90625,143860,170750,52917,61307,68565,26442,13244,37000,106833,150998,-,-,90216,178578,107375,50556,51908,126528,187875,114167,141136,171125,-,96964,67045,115188,50729,19091,72321,119028,72272,-,-,102917,114734,73542,38846,67054,-,103401,76429,75982,104352,-,50606,54138,62661,6583,6250,14821,76650,47.9,-,-,114.1,64.2,68.5,76.8,129.2,-,55,66.9,53.8,61,-,52.2,80.7,54.4,13,32.7,20.5,64.4
95121,42384,18438,-,50800,53635,47045,22679,48005,77411,79886,57500,52368,86620,67813,30229,35189,49213,18234,19978,29609,48636,47632,21375,-,48516,60734,41528,30286,48962,118347,80333,81563,39286,102250,-,27639,40060,52723,15259,22734,40066,55438,36274,-,-,83843,47321,53984,16623,40568,73000,79250,51078,81875,69000,46964,31321,30942,44310,29609,19300,21045,34957,76.2,-,-,172.8,77.9,130,54.9,82.9,61.7,98.7,62.6,208.4,67.5,-,113.3,77.2,84,194,84.9,52.5,63.1
95122,32329,18418,-,39177,44086,42689,23997,37517,83466,80938,53425,47154,65875,-,28811,33404,29310,23514,22467,27731,40313,37538,16250,-,40875,49354,43864,25313,38044,83466,80729,54556,45863,71406,-,33435,43125,37727,25357,24079,33295,57813,27996,19440,-,30550,34614,38194,23663,31200,-,92569,50188,49100,59408,-,19461,32560,28510,19141,21165,21574,39688,74.6,119.6,-,74.7,70.1,87.1,93.5,82,-,114.7,92,107.1,83.2,-,58.2,75.5,75.6,75.5,87.9,64.8,68.6
95123,58913,32083,-,64881,94121,65543,30015,50648,102375,98594,67782,70089,96285,113618,43023,54737,56733,20417,21250,41314,91589,70625,35446,-,63636,105333,69196,32467,51705,101833,110078,74900,43819,119353,114868,42572,71605,60652,19028,25938,53068,107250,50771,-,-,68141,76612,34167,25270,49356,109125,80236,61303,74847,67010,-,44423,46809,56286,21065,18359,27669,64957,71.9,-,-,107.1,72.7,49.4,77.8,95.5,107.2,72.9,81.8,170.8,56.1,-,104.3,65.4,92.8,110.7,70.8,52.1,60.6
95124,77584,25476,-,63358,143073,85714,41538,64483,150635,128295,95438,103563,123629,150066,50923,58302,54400,21944,22215,36375,81346,96787,26071,-,67608,152554,86310,44268,47140,150943,140859,106632,136690,156719,150066,56036,85692,52844,36250,32627,48953,95223,58370,-,-,41094,109500,79167,26031,103021,80795,86154,81902,50959,101434,-,47500,41875,56923,21578,20551,26442,68365,60.3,-,-,60.8,71.8,91.7,58.8,218.5,53.5,61.2,76.8,37.3,64.7,-,84.8,48.9,107.7,59.5,63,54,71.8
95125,72004,26972,-,63118,136576,86779,26745,46696,114821,143971,87222,78788,130323,138083,35275,66111,57447,22480,17205,22426,90746,87237,35688,-,54207,159350,80990,22288,41691,114554,167429,87407,112716,156558,96688,38750,76354,87381,47292,25438,46587,101125,59412,-,-,91641,97031,119250,37729,47900,-,124000,81389,57656,108818,139167,31159,61141,54905,22254,15573,19407,89712,68.1,-,-,169.1,60.9,147.2,169.3,114.9,-,74.1,93.1,51.2,69.5,143.9,80.4,80.1,62.8,47.1,61.2,41.7,88.7
95126,62027,30469,-,45043,110541,85313,31555,37308,90327,146516,84159,51480,104412,-,20965,62690,59826,59444,26219,37026,86701,71161,30469,-,43839,110000,127750,40833,35865,54722,147418,176797,68472,121063,-,21658,63456,92206,77222,35274,40216,66842,52974,-,-,61591,112596,58750,22539,51346,-,134028,56250,50944,77150,-,19923,61821,53958,45500,24831,26324,87396,74.4,-,-,140.5,102.4,46,55.2,143.2,-,90.9,31.8,74.4,63.7,-,92,97.4,58.5,58.9,70.4,65.5,130.8
95127,37696,16806,-,41433,53460,50326,27209,36070,79306,70875,58036,38533,81418,43839,30205,41487,38784,30625,20848,29666,68611,41063,16204,-,41711,58614,50870,31588,36770,80938,73250,66667,37125,90815,43304,32538,50000,41776,37689,21853,34413,75898,31809,23182,-,38153,47819,41458,24613,23182,-,55938,56343,46406,69118,100682,23084,36875,36479,11250,20266,23500,66250,77.5,143.1,-,91.5,81.6,81.5,77.9,63,-,76.4,84.5,125,76.1,232.5,70.9,73.8,87.3,29.8,92.7,68.3,87.3
95128,51845,-,-,36921,107108,50766,35865,30033,100028,95870,100114,62039,87104,53929,29269,53062,58293,28750,22028,25875,51023,57680,-,-,36790,117346,66458,49303,25333,100028,95924,130793,59468,113600,22011,37857,59758,60924,24615,27347,26885,65962,45438,-,-,44423,90200,30477,19464,31016,-,84950,70560,66750,73466,-,21915,50885,57791,28942,18489,21886,41912,78.8,-,-,120.7,76.9,45.9,39.5,122.4,-,88.6,53.9,112.2,64.7,-,57.9,85.2,94.9,117.6,67.6,81.4,63.5
95129,91292,102941,-,76885,144181,107264,35000,55463,-,166300,81818,62069,132773,103214,31708,53287,44025,12500,17593,37757,47321,122563,-,-,95982,160962,125481,55987,88438,-,165962,105625,60388,152672,-,24923,65303,58125,11571,16870,38107,92656,59077,-,-,49688,109135,40625,28750,39125,-,166667,80341,67031,96250,103393,60417,50179,42413,25735,21339,31250,43182,48.2,-,-,51.8,67.8,32.4,51.4,44.2,-,100.4,76.1,111,63,-,242.4,76.8,73,222.4,126.5,82,46.6
95130,66191,-,-,64609,140054,81625,28600,27125,-,131544,73750,45323,128406,-,30962,55396,37135,40925,23256,43558,81500,101178,-,-,65250,151739,92273,38179,25688,-,177821,160682,46099,160898,-,40375,55250,51786,38073,25347,67361,135486,43045,-,-,-,125486,32135,19327,31106,-,96394,49293,38409,72784,-,19688,55536,31392,41558,14125,31623,62361,42.5,-,-,-,82.7,34.8,50.6,121.1,-,54.2,30.7,83.3,45.2,-,48.8,100.5,60.6,109.2,55.7,46.9,46
95131,60297,-,-,49148,78092,58929,30997,41270,135069,114896,79886,64038,109583,133631,30462,45438,44375,17431,19402,22583,56250,65500,-,-,49356,100189,71458,25815,40984,135694,118274,100682,58750,124100,133631,21875,54583,44831,17222,19042,17462,92829,52917,-,-,16354,60118,29643,33071,61094,-,108833,71406,85469,85588,-,42614,42750,43662,-,25488,25417,53977,80.8,-,-,33.1,60,41.5,128.1,149.1,-,92,70.9,145.5,69,-,194.8,78.3,97.4,-,133.9,145.6,58.1
95132,52010,19896,-,40255,74394,49833,22892,61875,46042,93594,57917,52500,100400,123750,27059,36219,44071,14545,20000,21646,75542,63714,-,-,39766,96022,42000,30114,57500,46042,110109,63500,27171,108087,-,30824,36985,43438,14830,23194,30577,90750,41073,22679,-,40417,58295,65078,16619,66125,-,48393,50000,64135,80966,140750,25688,36012,44605,13977,16402,17340,62639,64.5,-,-,101.6,60.7,154.9,55.2,115,-,44,78.7,236,74.9,-,83.3,97.4,102.7,94.2,70.7,56.7,69
95133,46889,13357,-,37676,67220,37200,25968,33214,107159,106779,21964,46875,96750,-,23030,52188,47375,27500,19229,23684,54549,51239,-,-,36667,82813,35550,31950,30303,148409,121042,13281,46042,108558,-,23688,54375,45156,27500,18009,30966,70667,41585,-,-,50778,52813,39028,12284,60222,-,101000,52273,75263,68724,-,18924,51050,50795,18750,20833,21133,53438,81.2,-,-,138.5,63.8,109.8,38.4,198.7,-,83.4,393.6,163.5,63.3,-,79.9,93.9,112.5,68.2,115.7,68.2,75.6
95134,97962,-,-,46587,111660,43456,59492,60878,-,129978,97054,60427,115347,-,41638,50154,43640,44802,33298,32526,26528,114413,-,-,46647,127442,39844,106211,60645,-,138451,111750,41471,126558,-,62813,69875,106108,45372,16940,33943,-,62572,-,-,37383,80515,83382,34236,61328,-,105000,61912,60854,99965,-,28345,26058,39118,12356,37769,21352,26528,54.7,-,-,80.1,63.2,209.3,32.2,101.1,-,75.8,55.4,146.7,79,-,45.1,37.3,36.9,27.2,223,62.9,-
95135,95933,-,-,53563,129422,105804,37875,27000,-,136944,116418,76111,133900,-,30313,69423,53464,6779,13702,21660,94865,117593,-,-,80893,133125,109671,40368,27375,-,160457,125977,93929,161250,-,19853,96406,53269,98750,13846,57708,93885,63119,-,-,48750,128866,40950,35089,-,-,21845,36833,75556,97031,-,50781,69135,54028,4213,7344,20176,108750,53.7,-,-,60.3,96.8,37.3,86.9,-,-,13.6,29.2,80.4,60.2,-,255.8,71.7,101.4,4.3,53,35,115.8
95136,53976,50724,-,60909,81341,64435,23603,43256,69750,108065,64345,77300,100116,44375,40891,54885,40424,40417,27033,27392,71971,65705,51316,-,60713,95335,71719,32429,44506,69750,124375,64464,105516,119292,-,41683,69236,37833,39740,38170,45370,85208,43009,-,-,70250,59500,18932,19700,41721,-,54792,59815,52216,79621,44375,34777,54385,40818,41250,18167,22067,62292,65.5,-,-,115.7,62.4,26.4,60.7,93.7,-,44.1,92.8,49.5,66.7,-,83.4,78.6,107.9,103.8,47.6,48.6,73.1
95138,80797,-,-,53274,124559,65938,35132,64457,150488,109286,74211,44350,130729,-,34801,47404,66509,30147,38182,35046,79931,101291,-,-,52857,137000,96250,49028,63641,-,164130,91250,43500,160789,-,32642,86365,106162,14107,24444,90152,77986,59375,-,-,83083,95833,55278,30036,170089,-,81607,73158,52361,103618,-,41250,40577,54464,30515,42667,24019,100636,58.6,-,-,157.2,70,57.4,61.3,267.3,-,49.7,80.2,120.4,64.4,-,126.4,47,51.3,216.3,174.5,26.6,129
95139,66316,-,-,96202,102422,54375,36122,59766,-,86442,81094,86923,105382,-,49063,31194,53750,36429,11406,37209,80114,72358,-,-,97115,101250,52813,35673,59102,-,-,80781,96389,106908,-,91917,103000,39111,21471,-,36557,-,62701,-,-,-,102422,91058,37019,-,-,73889,95250,-,95893,-,4688,30361,64145,-,13000,46912,82045,86.7,-,-,-,101.2,172.4,103.8,-,-,-,117.9,-,89.7,-,5.1,29.5,164,-,-,128.3,-
95140,52750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95148,50300,20625,-,62876,72329,61429,22122,43718,127708,102647,61591,50536,97388,131250,28487,41318,55553,17708,17206,23158,60682,54472,25385,-,62960,81650,53750,26106,42788,127936,105694,80515,49833,110245,131250,26364,30598,63180,17826,16936,30797,64844,44264,4769,-,56042,57449,64438,21795,59792,73500,89000,56576,54063,76932,-,38686,42583,52455,17344,17708,16250,55625,81.3,18.8,-,89,70.4,119.9,83.5,139.7,57.5,84.2,70.3,108.5,69.8,-,146.7,139.2,83,97.3,104.6,52.8,85.8
95202,23056,25227,-,32950,16891,-,22717,33750,-,-,-,26518,32604,-,-,13050,24145,-,12222,23920,55114,26003,27174,-,32950,41250,-,24728,33477,-,-,-,-,-,-,-,-,27163,-,6354,24261,-,15896,18182,-,-,16250,-,13598,-,-,-,-,-,32656,-,-,11892,16759,-,14125,6818,-,61.1,66.9,-,-,39.4,-,55,-,-,-,-,-,-,-,-,-,61.7,-,222.3,28.1,-
95203,31423,25676,-,37697,34750,43636,31117,40469,-,41094,54063,36667,39797,-,23705,56229,26803,9861,16250,23879,49063,31648,25980,-,32708,41071,92685,31334,50978,-,-,78684,52955,48929,-,25478,68750,31016,-,16591,24750,41154,31015,25000,-,50563,31071,26875,30313,22026,-,-,50859,22000,38446,-,10842,55254,25625,-,16111,23421,49938,98,96.2,-,154.6,75.7,29,96.7,43.2,-,-,64.6,41.5,78.6,-,42.6,80.4,82.6,-,97.1,94.6,121.3
95204,36814,21210,-,48487,41096,54167,26760,42304,68438,51500,49948,53889,44205,-,30858,41500,33533,43478,20833,24028,55516,44045,19179,-,48257,47267,57628,28949,42161,-,55101,71125,60598,77286,-,35147,44688,38594,44688,16898,39583,56797,30152,25625,-,68421,26842,37000,25833,42955,81000,23750,49479,31912,32188,-,14511,40231,32216,14423,21307,12104,54458,68.5,133.6,-,141.8,56.8,64.2,89.2,101.9,-,43.1,69.6,52.7,41.6,-,41.3,90,83.5,32.3,126.1,30.6,95.9
95205,26389,21504,-,31518,30363,34457,20075,33253,7222,57273,33942,26908,22426,-,27419,20404,24579,15302,14670,28725,50060,30425,23252,-,31656,31567,36796,21968,33093,6736,-,31861,30625,135212,-,31691,28214,31052,-,19667,29507,45179,20171,15313,-,-,22969,18056,14986,37805,-,78616,45352,25568,20257,-,16458,19232,23914,13750,13908,21447,50524,66.3,65.9,-,-,72.8,49.1,68.2,114.2,-,-,142.3,83.5,15,-,51.9,68.2,77,-,70.7,72.7,111.8
95206,30017,20564,-,39213,36009,39385,22629,37736,26394,55260,41182,38830,32500,-,26995,26625,30287,22875,14978,21401,46750,32285,22229,-,39390,37595,49966,24706,38821,26298,57135,19950,38660,40125,-,29984,27172,27096,13750,16576,27019,63542,25568,15194,-,16600,25871,26699,20849,35659,-,6471,41216,42530,32417,-,25211,25944,30507,28947,14049,18210,43824,79.2,68.4,-,42.1,68.8,53.4,84.4,91.9,-,11.3,206.6,110,80.8,-,84.1,95.5,112.6,210.5,84.8,67.4,69
95207,32416,20221,-,40803,36111,41016,28077,36017,64602,63264,50324,35133,54417,-,21467,36705,31458,40446,18972,26049,45408,36809,26083,-,40902,39760,47690,30458,38068,76563,40250,56682,40682,54038,-,23205,34286,30092,43167,28403,31711,43773,28814,9925,-,33917,28333,21593,25783,25278,64034,63576,41250,27014,54934,-,19776,37354,31947,26146,16050,19763,46786,78.3,38.1,-,82.9,71.3,45.3,84.7,66.4,83.6,158,72.8,66.4,101.7,-,85.2,108.9,106.2,60.6,56.5,62.3,106.9
95209,42400,31413,-,44909,55764,40104,31822,51036,103713,52708,68281,39550,62618,-,38242,56960,47797,30733,16190,24578,62837,46734,37583,-,42432,61206,43750,35840,53484,104123,52813,94764,40250,39394,-,37813,71049,60402,31094,15759,30898,63250,37628,-,-,66607,35909,27292,25893,36538,-,44750,35278,38021,63769,-,57717,45268,41911,30288,16409,21051,62132,80.5,-,-,157,58.7,62.4,72.2,68.3,-,84.7,37.2,94.5,161.9,-,152.6,63.7,69.4,97.4,104.1,68.1,98.2
95210,27064,24826,-,35394,42443,29608,23090,32217,80172,24112,38542,15481,47361,-,28104,24611,25082,22083,15962,24420,35850,31440,24265,-,36088,45863,29680,27302,34688,43611,24934,46705,16154,77500,-,28546,35179,27500,30789,16225,27292,46683,23376,-,-,26731,32778,24219,17755,31552,81466,13264,37019,11250,31607,-,27799,23648,24375,20714,15746,17841,30938,74.4,-,-,74.1,71.5,81.6,65,91,186.8,53.2,79.3,69.6,40.8,-,97.4,67.2,88.6,67.3,97,65.4,66.3
95211,5361,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,500-",-,-,-,-,-,6696,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7054,-,-,-,-,-,"2,500-",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,500-",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95212,36719,29123,-,44858,32695,42891,26771,44679,95833,51445,51277,48750,17185,-,13929,51796,63726,34050,18776,13919,83346,44087,-,-,44858,43586,37068,27283,43189,95833,-,81033,-,48008,-,24464,66250,135947,67759,22554,25605,91639,30758,-,-,-,28388,52448,26300,47004,-,57818,50054,63438,16762,-,8095,51080,47863,-,18750,11690,27292,69.8,-,-,-,65.1,141.5,96.4,108.8,-,-,61.8,-,34.9,-,33.1,77.1,35.2,-,83.1,45.7,29.8
95215,27581,21926,-,40743,39904,23790,21750,46719,48333,12596,39727,49537,31360,-,24634,26829,32104,9000,12171,39896,47969,31291,22309,-,41415,46230,40500,26793,44750,48333,-,-,49583,46528,-,26180,51500,40766,-,7885,40938,66136,21941,20433,-,30762,24167,16196,16217,64306,-,-,39180,27414,30956,-,20981,25806,31114,-,12750,37443,14513,70.1,91.6,-,74.3,52.3,40,60.5,143.7,-,-,-,55.3,66.5,-,80.1,50.1,76.3,-,161.7,91.5,21.9
95219,49182,25938,-,53750,58438,58839,33855,38250,80474,47563,67647,42371,61250,-,34524,58606,63319,14792,17137,30357,86250,58554,26289,-,58158,58490,58482,41996,40781,80129,47555,69632,44097,101964,-,46797,51167,115833,20948,26818,27437,100431,41513,-,-,48786,54853,60200,25056,29579,-,47604,65813,32310,37169,-,32064,59364,47205,11970,13843,30455,57417,70.9,-,-,83.9,93.8,102.9,59.7,72.5,-,100.1,94.5,73.3,36.5,-,68.5,116,40.8,57.1,51.6,111,57.2
95220,35097,25673,-,38497,46480,82083,19792,120526,-,-,82750,-,85348,-,37847,34762,37342,-,15966,13929,101842,37141,45037,-,37922,47250,235313,18813,121491,-,-,32250,-,86578,-,48456,16985,36615,-,16676,14174,108352,30047,13693,-,-,46205,-,50903,48750,-,-,-,-,26786,-,-,41071,39398,-,8512,4759,100855,80.9,30.4,-,-,97.8,-,270.6,40.1,-,-,-,-,30.9,-,-,241.8,107.6,-,51,33.6,93.1
95222,43910,58288,-,49271,27368,-,14402,24432,-,-,-,-,157375,-,33500,82955,52348,24023,15583,63415,83295,59531,58288,-,49271,83571,-,20250,-,-,-,-,-,161094,-,35000,-,112045,46683,15583,63415,58125,22566,-,-,-,-,-,14067,-,-,-,-,-,50865,-,-,82841,50884,9133,15000,-,118504,37.9,-,-,-,-,-,69.5,-,-,-,-,-,31.6,-,-,-,45.4,19.6,96.3,-,203.9
95223,33750,-,-,69286,34500,-,26307,-,52083,-,-,48906,31944,-,19943,81042,85250,50375,15250,5833,90694,40893,-,-,69286,34625,-,28611,-,-,-,-,47656,30417,-,68750,-,87250,73333,-,-,-,26593,-,-,-,-,-,25852,-,-,-,-,51250,-,-,18125,81458,-,17917,15250,6417,90861,65,-,-,-,-,-,90.4,-,-,-,-,107.5,-,-,26.4,-,-,24.4,-,-,-
95224,75357,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14792,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95225,67554,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95227,63448,29327,-,70938,"250,000+",64000,-,45179,-,-,-,-,-,-,-,-,-,-,-,-,-,61964,28942,-,70938,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95228,40769,-,-,91875,37788,41800,26050,43015,60000,-,-,31625,63889,-,7101,32417,35179,31685,25587,44605,66462,44375,-,-,93021,63542,41575,31667,43015,60000,-,-,30417,63889,-,6884,-,36667,32174,26224,42697,66250,34403,-,-,-,19783,43523,25450,-,-,-,-,50156,-,-,-,85099,34583,-,-,-,93636,77.5,-,-,-,31.1,104.7,80.4,-,-,-,-,164.9,-,-,-,-,94.3,-,-,-,141.3
95230,40750,33229,-,13549,-,-,-,61599,-,-,-,-,-,-,-,-,53059,-,-,-,-,60051,32692,-,13348,-,-,-,61599,-,-,-,-,-,-,-,-,-,-,-,-,-,39375,33864,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53059,-,-,-,-,65.6,103.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95231,28325,24618,-,15000,41170,41250,16169,16731,-,-,-,-,24563,-,31538,24348,42500,-,-,-,67778,35015,25848,-,15000,41995,37500,26042,16731,-,-,-,-,-,-,36618,-,46141,-,-,-,67778,22792,12102,-,-,-,-,12083,-,-,-,-,-,22938,-,16429,24348,37386,-,-,-,-,65.1,46.8,-,-,-,-,46.4,-,-,-,-,-,-,-,44.9,-,81,-,-,-,-
95232,19479,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
